,MTOPDomainClassification,ArguAna,StackExchangeClustering.v2,MassiveIntentClassification,STS12,MindSmallReranking,AskUbuntuDupQuestions,STS22.v2,MedrxivClusteringS2S.v2,SICK-R,StackExchangeClusteringP2P.v2,Banking77Classification,SprintDuplicateQuestions,MassiveScenarioClassification,STS13,AmazonCounterfactualClassification,STS14,FEVERHardNegatives,SCIDOCS,ToxicConversationsClassification,STS17,ArXivHierarchicalClusteringP2P,MedrxivClusteringP2P.v2,TwentyNewsgroupsClustering.v2,ArXivHierarchicalClusteringS2S,TwitterSemEval2015,TRECCOVID,TwitterURLCorpus,BIOSSES,ClimateFEVERHardNegatives,TweetSentimentExtractionClassification,STS15,STSBenchmark,CQADupstackGamingRetrieval,Touche2020Retrieval.v3,CQADupstackUnixRetrieval,ImdbClassification,HotpotQAHardNegatives,FiQA2018,BiorxivClusteringP2P.v2,SummEvalSummarization.v2
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,0.946078,0.57483,0.524789,0.768191,0.7880312217691351,0.3149575275757744,0.6398320383943591,0.672899,0.314715,0.836969699802343,0.408218,0.8831493506493505,0.9681785428870712,0.793712,0.8637435789895171,0.799701,0.8404036612478626,0.70729,0.22497,0.6926140000000001,0.901862731405498,0.568412,0.361269,0.444798,0.517641,0.8059558041410928,0.77692,0.8655972191277392,0.8524411101959604,0.21886,0.6213638936049801,0.8899055778929946,0.8865370934976113,0.6665399999999999,0.38315,0.4973699999999999,0.87422,0.54613,0.53111,0.388299,0.310537
infgrad/stella-base-en-v2,0.935021,0.60627,0.590957,0.738803,0.787182808242435,0.3190698374676892,0.6272054270636606,0.66997,0.352564,0.8105827848407056,0.392507,0.8472727272727273,0.9569771347732624,0.78265,0.8488094386637868,0.77209,0.8310699573133828,0.78945,0.18583,0.7299279999999999,0.877102980757725,0.59993,0.363817,0.500086,0.58569,0.7767287017966282,0.64792,0.8615882097229648,0.8594292212320398,0.29293,0.6307017543859649,0.8873903130248592,0.8744850004752103,0.59166,0.55357,0.41098,0.913128,0.69124,0.38615,0.414085,0.317814
avsolatorio/GIST-small-Embedding-v0,0.95114,0.5912,0.585482,0.715098,0.7556589127055523,0.3236227552557184,0.623290291318171,0.687533,0.36103,0.8053174518259548,0.413955,0.8664935064935065,0.9589733601612964,0.744956,0.8626355088415221,0.741642,0.8229883673695083,0.87576,0.21889,0.7280239999999999,0.8902101343562433,0.596633,0.377786,0.510261,0.571498,0.7310385271517778,0.6914,0.8534184508966621,0.8698752423842483,0.31846,0.6100452744765139,0.887364409031183,0.8707819121764246,0.56979,0.48379,0.39586,0.894868,0.66349,0.39145,0.421505,0.31813
Tarka-AIR/Tarka-Embedding-150M-V1,0.984245,0.58237,0.64353,0.82996,0.766568,0.30623,0.60699,0.65227,0.412166,0.807374,0.468201,0.904416,0.891608,0.897646,0.838087,0.902537,0.820843,0.74027,0.17339,0.811133,0.888249,0.633971,0.438539,0.463019,0.595157,0.700327,0.81392,0.857651,0.824832,0.26259,0.666355,0.871066,0.863853,0.56745,0.56842,0.38547,0.905852,0.65283,0.40522,0.507344,0.308301
thenlper/gte-large,0.926448,0.57158,0.603187,0.662845,0.7680552915288186,0.3262512146657428,0.6306359661829253,0.69913,0.355064,0.7980930790660699,0.419427,0.8605844155844157,0.9574716566563772,0.720074,0.881099866206877,0.711791,0.8266200957916445,0.84955,0.2344,0.7055579999999999,0.8846863559173112,0.586399,0.366636,0.52958,0.585197,0.7395673761922404,0.7021999999999999,0.8552705223340233,0.8865081514968477,0.28238,0.5657611771363893,0.8892791680286954,0.8607166710670507,0.60096,0.53419,0.43271,0.8845600000000001,0.6758,0.44499,0.410188,0.329017
Lajavaness/bilingual-embedding-large,0.924282,0.55888,0.576207,0.720208,0.8552036823639512,0.3172032807796656,0.6077428226049288,0.685752,0.359139,0.810146278511025,0.404546,0.8099025974025974,0.9261210920251232,0.766005,0.8936590409791387,0.78194,0.9160879188296314,0.7281,0.18829,0.6556640625,0.8870915251373807,0.57353,0.370089,0.467888,0.576409,0.770656524331512,0.5292,0.8719162847931056,0.8786103811793475,0.25407,0.6280418788907753,0.920245041504424,0.8928237056532354,0.593,0.43857,0.39247,0.8877039999999999,0.62039,0.3826,0.394234,0.329524
BAAI/bge-base-en-v1.5,0.931806,0.63752,0.5533297004859964,0.7263618022864828,0.7802846881992981,0.3119652189437131,0.6212847051918774,0.6653807805996781,0.3554675624696722,0.8030113956602887,0.4064594710398929,0.869512987012987,0.9637070633494468,0.765131,0.8418359851756962,0.7501492537313432,0.8227285338843656,0.86041,0.21725,0.670361328125,0.8641380538831039,0.6068256839091629,0.3632620368274916,0.501358752662136,0.5898746479298997,0.7767872502591382,0.78029,0.8564521499076442,0.8693752309911496,0.32085,0.5938030560271647,0.8795662500150213,0.8641801045690194,0.59648,0.49714,0.42158,0.9080799999999998,0.73709,0.40646,0.416719361798302,0.301948
prdev/mini-gte,0.951756,0.56614,0.608474,0.753161,0.743335,0.321535,0.615732,0.683308,0.362016,0.79551,0.413487,0.857175,0.954849,0.802152,0.835213,0.748955,0.806162,0.88738,0.21317,0.782129,0.897621,0.585069,0.380406,0.478282,0.566652,0.734081,0.74025,0.854324,0.847302,0.39675,0.613978,0.868569,0.862486,0.56855,0.53711,0.35697,0.886972,0.67183,0.38451,0.437065,0.303121
VPLabs/SearchMap_Preview,0.958026,0.55458,0.602263,0.726698,0.751023,0.324538,0.633496,0.694316,0.374876,0.777845,0.40957,0.840974,0.965781,0.795494,0.866885,0.644179,0.813998,0.84048,0.22452,0.677881,0.890064,0.582343,0.389982,0.518996,0.578725,0.724283,0.6153,0.857995,0.825862,0.31789,0.580306,0.875005,0.845462,0.58483,0.51859,0.41546,0.773852,0.66799,0.48114,0.420662,0.33249
codefuse-ai/F2LLM-v2-160M,0.987756,0.54011,0.654859,0.802555,0.797303,0.29934,0.60592,0.652255,0.415115,0.741905,0.467397,0.83039,0.965692,0.887155,0.825131,0.903582,0.804775,0.88447,0.17548,0.891992,0.880827,0.624399,0.446989,0.465898,0.604902,0.6435,0.54333,0.853305,0.848905,0.33336,0.74983,0.871076,0.84624,0.5292,0.56999,0.38137,0.917148,0.61252,0.36355,0.524248,0.286258
Cohere/Cohere-embed-english-light-v3.0,0.936092,0.50806,0.574865,0.700067,0.726022866501722,0.3186814320224619,0.6011396377106911,0.681273,0.366757,0.7965240734965129,0.418972,0.7969805194805193,0.9659150882873164,0.763282,0.8287639489647018,0.786269,0.7974024708732993,0.88359,0.18098,0.730414,0.8922016928873572,0.60552,0.402191,0.461432,0.56104,0.722333251726292,0.79364,0.8631913976395483,0.8171933190993215,0.28767,0.6472269383135257,0.8697688974734349,0.8657651994952795,0.57078,0.64156,0.38308,0.921668,0.67913,0.3883499999999999,0.419052,0.328028
LCO-Embedding/LCO-Embedding-Omni-7B,0.948016,0.3963,0.571035,0.763753,0.795852,0.3056,0.62925,0.683085,0.333826,0.828777,0.394985,0.835195,0.908372,0.799159,0.878014,0.796866,0.836819,0.58556,0.2002,0.679004,0.897447,0.580494,0.36078,0.455697,0.554589,0.754074,0.6658,0.866892,0.826778,0.20736,0.646095,0.880252,0.876702,0.57547,0.46194,0.45642,0.91096,0.59191,0.38622,0.406935,0.396522
Haon-Chen/speed-embedding-7b-instruct,0.879047,0.59295,0.525119,0.653699,0.8015194914870666,0.3335707665482982,0.672259454062751,0.643502,0.302162,0.8246041161692649,0.405611,0.8863636363636364,0.9577631677784112,0.68534,0.8994300436293617,0.729254,0.8623848649310362,0.59988,0.1662899999999999,0.6843159999999999,0.9193416269793802,0.600154,0.348086,0.258084,0.560762,0.8167496006818211,0.87433,0.8749835162128704,0.871447567367366,0.16092,0.6382852292020373,0.9119520084590635,0.8920507562822989,0.22166,0.23585,0.16043,0.9487799999999998,0.33324,0.56053,0.381548,0.181612
MongoDB/mdbr-leaf-mt,0.924624,0.61227,0.581902,0.7231,0.773629,0.323592,0.622619,0.692332,0.346657,0.806254,0.401484,0.851623,0.96575,0.772495,0.888314,0.705522,0.832192,0.78171,0.18689,0.668457,0.868254,0.602909,0.377913,0.473791,0.533868,0.701026,0.67331,0.854516,0.817982,0.32028,0.606706,0.880785,0.872129,0.55852,0.615,0.3681,0.885508,0.63703,0.38456,0.420003,0.312335
thenlper/gte-base,0.912859,0.57122,0.59126,0.647108,0.7571298531799368,0.3253637706586391,0.6180250355752458,0.676592,0.349025,0.7885870555294795,0.414312,0.8506818181818183,0.9572927039014848,0.716443,0.8572991921531624,0.730299,0.8150806522502527,0.82529,0.23132,0.7161279999999999,0.8789861394614361,0.593139,0.364043,0.518032,0.58284,0.7276873850945174,0.68783,0.8554712254033734,0.8764235843637468,0.28187,0.5701188455008489,0.8881032027008194,0.8573266847750144,0.60303,0.48846,0.42687,0.8595200000000002,0.66675,0.40758,0.406174,0.309005
HIT-TMG/KaLM-embedding-multilingual-mini-v1,0.925239,0.56713,0.575793,0.708507,0.7666847347731301,0.3217562277399934,0.6001096720382656,0.689967,0.327722,0.7992986896006748,0.40435,0.7916883116883118,0.9491386698713322,0.761399,0.8486841413445535,0.763582,0.8010636060670153,0.85151,0.20241,0.70810546875,0.8794347302365394,0.593345,0.342933,0.458976,0.554429,0.7092738137519932,0.78374,0.8674895762701595,0.8623750714877665,0.24655,0.6266553480475382,0.8869670049389599,0.8606896054399278,0.61764,0.60521,0.40521,0.916012,0.68238,0.46018,0.372009,0.198121
KiteFishAI/Nano-Em1-0.6B-v2,0.953602,0.56547,0.733945,0.766106,0.776489,0.30361,0.60971,0.646366,0.403515,0.785438,0.498815,0.850844,0.942545,0.797041,0.845928,0.879254,0.812592,0.5789,0.19335,0.805225,0.868967,0.630408,0.396586,0.506272,0.609388,0.708441,0.5142,0.859754,0.878177,0.17915,0.701585,0.868844,0.84488,0.55958,0.41848,0.39559,0.917352,0.57911,0.34109,0.449109,0.297127
BAAI/bge-small-en-v1.5,0.923096,0.60348,0.5729472500253643,0.7076328177538669,0.7744334044593039,0.3129025991014438,0.6258646527320719,0.6578655539817696,0.3456652549826163,0.7940992826837397,0.403561,0.8574025974025975,0.9667083203864044,0.752085,0.8297998550645033,0.7183582089552238,0.8183539566263665,0.86236,0.20518,0.65478515625,0.8713996891294413,0.5952876517144434,0.3666103078151083,0.481097,0.5787440246376474,0.7332843720487845,0.75525,0.8483865792306811,0.8375492046087288,0.32197,0.6050650820599887,0.8726544426377639,0.8586295017067542,0.56376,0.57573,0.38766,0.90606,0.70717,0.40343,0.41793127547354,0.289243
sdadas/mmlw-e5-large,0.946033,0.62739,0.594283,0.778716,0.807987,0.313239,0.639265,0.668393,0.358017,0.81401,0.401496,0.875422,0.96537,0.809213,0.849162,0.769851,0.816616,0.54097,0.04885,0.663135,0.863602,0.598724,0.385244,0.516823,0.576432,0.760732,0.38976,0.840576,0.791199,0.15304,0.608121,0.857166,0.853376,0.50615,0.52847,0.2868,0.920048,0.67811,0.37704,0.432663,0.340655
abhinand/MedEmbed-small-v0.1,0.92492,0.61587,0.571231,0.704338,0.7622109828443048,0.3171675684351701,0.6268563238263294,0.668076,0.3522320379635368,0.7965689515219193,0.402225,0.8101298701298699,0.961661173203402,0.75121,0.834553090866614,0.712836,0.8039864986197945,0.85028,0.20278,0.658447265625,0.8653957993982179,0.605536,0.3668359142642706,0.479251,0.57123,0.7298052075606988,0.77699,0.8498986658033177,0.87203191803159,0.26764,0.613497453310696,0.8640909639583372,0.8481184678969442,0.55482,0.56196,0.3725,0.913064,0.69743,0.38496,0.414489,0.294474
sdadas/mmlw-roberta-large,0.942978,0.61904,0.580577,0.773403,0.803478,0.313164,0.637963,0.663615,0.359588,0.813594,0.392881,0.876753,0.964769,0.810928,0.848021,0.773433,0.816639,0.48027,0.04834,0.666943,0.866505,0.608105,0.386568,0.496282,0.570935,0.749619,0.3747,0.841692,0.786747,0.14535,0.612139,0.858572,0.850874,0.48843,0.514,0.25058,0.916484,0.68037,0.36792,0.436246,0.349666
mixedbread-ai/deepset-mxbai-embed-de-large-v1,0.915344,0.57466,0.533927,0.691056,0.805676,0.2616458696834246,0.61305,0.688241,0.333809,0.817013,0.385893,0.776623,0.94644,0.735878,0.828023,0.775075,0.813296,0.77921,0.19761,0.649951,0.896708,0.56833,0.358265,0.426328,0.563596,0.756162,0.69714,0.864542,0.860923,0.25071,0.61545,0.897112,0.868227,0.60523,0.53866,0.41479,0.898104,0.69424,0.44284,0.384823,0.281195
nomic-ai/nomic-embed-text-v1,0.928272,0.49258,0.585626,0.694586,0.7891631735081286,0.3081101851888362,0.6060131052922205,0.650202,0.343009,0.785797159641342,0.392946,0.845422077922078,0.9352081548447404,0.746436,0.8540429140249618,0.741045,0.8164101363896585,0.71308,0.1829299999999999,0.7149519999999999,0.8720485505076538,0.589489,0.370082,0.4859,0.549637,0.7522925730473472,0.79923,0.8671257651501476,0.8647064499110101,0.27629,0.615365025466893,0.8720408521902229,0.8554302197678367,0.60166,0.57503,0.39514,0.8555959999999999,0.65153,0.38437,0.414831,0.304021
thenlper/gte-small,0.919653,0.55441,0.576814,0.644923,0.7512219708517119,0.3220682480490871,0.6172029706289777,0.681546,0.354979,0.7792985224770255,0.418939,0.840844155844156,0.955743678558349,0.706759,0.8508683458043946,0.719701,0.810345329142859,0.8194,0.21382,0.7033020000000001,0.8759086606735383,0.583687,0.372048,0.495198,0.573318,0.703278904593286,0.6652900000000002,0.8508006075642194,0.8817128615100206,0.26673,0.5822297679683077,0.8831966852492485,0.8557014313159492,0.57668,0.49187,0.39842,0.8680239999999999,0.64543,0.39353,0.413885,0.301398
codefuse-ai/F2LLM-v2-80M,0.985135,0.51437,0.618853,0.783087,0.786856,0.30054,0.59825,0.658349,0.400842,0.730558,0.454855,0.817045,0.951046,0.879254,0.801997,0.893881,0.784945,0.88106,0.17299,0.880566,0.87081,0.634236,0.434252,0.437735,0.583881,0.60859,0.54995,0.84609,0.843266,0.31765,0.741058,0.860763,0.83632,0.50029,0.54873,0.35124,0.907716,0.59946,0.31797,0.49063,0.289538
intfloat/e5-large,0.920657,0.49352,0.56889,0.677673,0.7593057758003267,0.3078221162037596,0.6007433334608074,0.656548,0.34467,0.8048508130408966,0.396459,0.8414285714285714,0.9541507679819002,0.719906,0.8522240034668203,0.750746,0.8054074646118492,0.66931,0.2011699999999999,0.705592,0.8936731628848683,0.572224,0.360874,0.461526,0.572867,0.7609792353652536,0.78317,0.8631476416599727,0.8473144873582847,0.23234,0.6120543293718167,0.8881459873052109,0.8721366640615442,0.57413,0.59691,0.38572,0.821096,0.64249,0.38558,0.392882,0.332602
LCO-Embedding/LCO-Embedding-Omni-3B,0.930529,0.41853,0.574293,0.758406,0.789016,0.30239,0.60103,0.685224,0.325679,0.828194,0.390743,0.824643,0.911695,0.78998,0.861343,0.78806,0.821596,0.56688,0.18307,0.694678,0.89153,0.58018,0.342231,0.44527,0.551633,0.748737,0.66253,0.867746,0.818308,0.23124,0.646463,0.881208,0.878322,0.54534,0.48201,0.39503,0.880888,0.54854,0.34538,0.395239,0.369773
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,0.922207,0.56569,0.537344,0.697983,0.8149535893255212,0.3158614685963032,0.6015899636621047,0.683633,0.338743,0.7963245426461405,0.399927,0.8492857142857144,0.9418170827750167,0.741863,0.8449255715794354,0.815075,0.8005601661201852,0.28275,0.2042899999999999,0.890380859375,0.8640304228488033,0.589147,0.346143,0.416252,0.545492,0.715997871796046,0.7953600000000001,0.863276630523782,0.86326063383458,0.07653,0.7649405772495754,0.865434566350121,0.8429708032112021,0.62366,0.42803,0.41831,0.950268,0.59334,0.45019,0.371479,0.071384
ManiacLabs/miniac-embed,0.9212038303693568,0.59995,0.5727667012431218,0.7140887693342299,0.7767205400194226,0.32255,0.60472,0.700247558110813,0.3502306764264321,0.8023323049562938,0.3915270002083526,0.8478896103896105,0.967121872281016,0.7678547410894419,0.8646353345398777,0.702089552238806,0.822308326515779,0.62059,0.16866,0.660888671875,0.8701196486143652,0.5925977147544386,0.3750034085505554,0.4401389775341334,0.5221771932333041,0.6942730116303075,0.50744,0.8512793629594004,0.8570014550703674,0.25379,0.6102716468590831,0.8838151748352273,0.8758965071293597,0.54252,0.53743,0.34383,0.868604,0.5789,0.34711,0.423793053601568,0.300303852371256
nomic-ai/nomic-embed-text-v2-moe,0.919927,0.55761,0.529593,0.684398,0.726515,0.30344,0.60112,0.683545,0.345563,0.738397,0.396676,0.798442,0.958895,0.744418,0.827242,0.771642,0.790294,0.86956,0.19245,0.684961,0.884465,0.597252,0.375347,0.446116,0.541661,0.656957,0.78741,0.862407,0.870068,0.33805,0.590521,0.866919,0.834553,0.61262,0.62369,0.4274,0.84802,0.68524,0.38677,0.417402,0.312806
sdadas/mmlw-e5-base,0.939193,0.59834,0.574387,0.749899,0.785712,0.311894,0.616053,0.644899,0.35576,0.808023,0.39605,0.86013,0.963292,0.795091,0.837403,0.769254,0.822311,0.59708,0.05346,0.646729,0.865517,0.59867,0.37711,0.483864,0.555983,0.72895,0.39997,0.854059,0.861339,0.20004,0.613696,0.881554,0.866135,0.49976,0.4639,0.28509,0.85624,0.66075,0.26242,0.426656,0.318695
Snowflake/snowflake-arctic-embed-l-v2.0,0.935271,0.5911,0.562998,0.714526,0.712258,0.315889,0.633476,0.678599,0.325863,0.739812,0.412491,0.818149,0.96542,0.762105,0.804384,0.655821,0.751031,0.92211,0.20276,0.65874,0.845295,0.571874,0.349524,0.424121,0.531249,0.670113,0.83633,0.854327,0.872164,0.42827,0.596378,0.82865,0.792127,0.63184,0.6405,0.46567,0.728232,0.68402,0.45349,0.371826,0.338346
ibm-granite/granite-embedding-english-r2,0.923484,0.59215,0.595758,0.705649,0.670177,0.317194,0.664834,0.684735,0.357405,0.713409,0.40137,0.855552,0.946306,0.752421,0.840914,0.654478,0.747689,0.88922,0.2495,0.620801,0.862089,0.590566,0.361477,0.477695,0.573636,0.600577,0.70565,0.833369,0.865923,0.35965,0.525608,0.853734,0.791728,0.65045,0.53431,0.52852,0.619128,0.67078,0.46324,0.418412,0.293065
intfloat/e5-large-v2,0.930848,0.46427,0.5207408773855098,0.6813718897108272,0.7355323398454772,0.3182504612539082,0.5961610751010777,0.6720097085618684,0.3385838541505167,0.7915895517070431,0.3984375347506265,0.8454545454545455,0.9483551821336548,0.714963,0.8098029517065778,0.7834328358208956,0.7915977416467089,0.83001,0.20498,0.63291015625,0.8955259542610445,0.5778481103327435,0.3521593460610038,0.4824365573569779,0.5510124770152588,0.7691572747061197,0.66636,0.8644115834976902,0.8360190492611737,0.22728,0.6094227504244483,0.8829499706388189,0.845488080918384,0.5841,0.42391,0.38868,0.91686,0.73023,0.41144,0.397176428189129,0.323376
sdadas/mmlw-roberta-base,0.937756,0.59993,0.542221,0.743981,0.778013,0.310913,0.622825,0.649992,0.362608,0.806494,0.387334,0.857565,0.961705,0.789408,0.842942,0.778209,0.826476,0.59682,0.05702,0.654199,0.866398,0.606571,0.375717,0.47002,0.53796,0.718371,0.41243,0.856037,0.846863,0.20869,0.605772,0.8817,0.864214,0.48975,0.47063,0.26032,0.846984,0.6557,0.26395,0.418753,0.308339
deepvk/USER-bge-m3,0.924396,0.49951,0.5192,0.706725,0.810964,0.310877,0.61886,0.680824,0.310824,0.810025,0.382908,0.811494,0.97241,0.758473,0.838523,0.74209,0.821097,0.74435,0.16154,0.691943,0.871775,0.541321,0.345243,0.402856,0.506237,0.717042,0.51016,0.857092,0.822615,0.26425,0.638823,0.889983,0.868518,0.53292,0.51265,0.37567,0.908792,0.64565,0.40803,0.350746,0.356618
avsolatorio/GIST-all-MiniLM-L6-v2,0.947743,0.51255,0.542012,0.690989,0.7503945035801913,0.3131030565916996,0.6296517580629869,0.683887,0.355317,0.7909232997136626,0.410635,0.842435064935065,0.9414261011689368,0.728547,0.8326431569305103,0.723582,0.7861877889763109,0.7486,0.21438,0.729014,0.8735865211085008,0.590671,0.382434,0.457914,0.548437,0.704564287244497,0.51468,0.8558148320880877,0.8125787561220484,0.25541,0.5985285795132994,0.87034943318414,0.8440071593577094,0.56825,0.57681,0.41797,0.78542,0.55455,0.3785299999999999,0.4112,0.269972
nomic-ai/nomic-embed-text-v1-ablated,0.9347013223894208,0.54662,0.576426,0.683927,0.7797040896962337,0.3128691874518377,0.575878386779424,0.624576,0.342262,0.773007421887329,0.390071,0.8381818181818181,0.9484210829841738,0.742199,0.7938801416063187,0.781045,0.7817327332594571,0.76487,0.18696,0.7138599999999999,0.8586642469958113,0.579034,0.36204,0.480475,0.551111,0.7255259011957311,0.82312,0.8638437691024106,0.8537122234964886,0.23002,0.608687040181098,0.8550877410088334,0.8341508337893958,0.5789,0.55017,0.36588,0.837804,0.64444,0.39019,0.40559,0.311366
intfloat/e5-base-v2,0.922321,0.44568,0.5311466874767545,0.6743443174176195,0.7348862196374729,0.312916268497217,0.5897793816337376,0.6651056943318795,0.3334730110685348,0.7839807283202838,0.3953167019072793,0.8352922077922077,0.9425578233832086,0.727303,0.8299690334443994,0.7550746268656716,0.8044585834356298,0.85,0.18681,0.658740234375,0.8889012640998367,0.5796287997107757,0.3553594605417122,0.4836694939036682,0.5462964772346335,0.7597497873817315,0.69633,0.8666483900596083,0.8140064994975234,0.27323,0.6039049235993209,0.8818055224097616,0.854798891881189,0.55742,0.49852,0.36904,0.8615,0.69088,0.39883,0.3911946928392568,0.342615
Lajavaness/bilingual-embedding-base,0.928637,0.51867,0.565337,0.688635,0.7959450354665624,0.3165436388779704,0.592761176425466,0.642707,0.329464,0.7949310740723677,0.397885,0.7846103896103896,0.9475976312657728,0.752488,0.8470010174539925,0.774179,0.8391546630697558,0.62817,0.16927,0.633837890625,0.8869212374652549,0.569346,0.349347,0.432499,0.543943,0.7377139111004601,0.49443,0.8648986996838992,0.8713150342270266,0.18062,0.6246745897000566,0.8987899103812357,0.8744031003802738,0.57534,0.44152,0.3662099999999999,0.8739199999999999,0.65092,0.29974,0.380501,0.276439
hotchpotch/bekko-embedding-v1-a25m,0.916142,0.57419,0.535662,0.6769,0.76753,0.3126,0.59949,0.668207,0.341827,0.744838,0.396225,0.820682,0.954399,0.730699,0.808453,0.754776,0.791962,0.75938,0.20112,0.669434,0.878387,0.551511,0.359369,0.455662,0.540062,0.697657,0.56792,0.854901,0.860749,0.21877,0.608715,0.88273,0.85802,0.6081,0.5779,0.39733,0.798308,0.69026,0.3793,0.390586,0.323415
ibm-granite/granite-embedding-125m-english,0.91311,0.58401,0.615845,0.645461,0.659247,0.322181,0.664838,0.693609,0.352697,0.712001,0.411876,0.779156,0.954074,0.716476,0.817525,0.63403,0.742305,0.90027,0.24146,0.597607,0.839634,0.572516,0.360757,0.481043,0.573498,0.609374,0.69259,0.825316,0.878424,0.33089,0.533192,0.841271,0.796569,0.63641,0.53592,0.513,0.644052,0.68143,0.44931,0.406341,0.2934
nomic-ai/nomic-embed-text-v1-unsupervised,0.923643,0.54812,0.527255,0.67774,0.7322311186990363,0.3060132765358296,0.5957222651819297,0.65175,0.325214,0.7418938626206575,0.3983,0.8109415584415585,0.9593389375761486,0.740148,0.8477145185366202,0.770597,0.799948128016449,0.73012,0.2017,0.7296340000000001,0.8954137104681308,0.567453,0.348539,0.459676,0.552057,0.696825655240522,0.62203,0.8541051488820464,0.8718933606575987,0.23225,0.5528013582342954,0.8726758456901442,0.8395859527071088,0.60587,0.5612,0.38909,0.8632240000000002,0.6476,0.3986,0.387819,0.303369
Cohere/Cohere-embed-multilingual-light-v3.0,0.918673,0.53369,0.559929,0.673638,0.7321878234127571,0.3136248181327529,0.5854425754121493,0.674977,0.344522,0.7703523134004042,0.397458,0.7812337662337663,0.9659618618212248,0.726295,0.7949916779764082,0.699552,0.769552055757283,0.86246,0.171,0.7065859999999999,0.886693290310468,0.571049,0.378458,0.41627,0.533711,0.6940551363814539,0.7893000000000001,0.8584596466970871,0.8401396250789998,0.24922,0.6445670628183361,0.8642805701554928,0.8546101092708824,0.56623,0.63015,0.37329,0.856372,0.67718,0.36161,0.416921,0.281744
Snowflake/snowflake-arctic-embed-m-v2.0,0.920862,0.57877,0.53989,0.680262,0.706481,0.3142,0.623418,0.685967,0.316183,0.712985,0.408757,0.801721,0.960056,0.726765,0.773886,0.66209,0.729113,0.92264,0.20321,0.648389,0.841046,0.575366,0.353642,0.395825,0.518794,0.64784,0.80342,0.859584,0.870429,0.38683,0.582371,0.818161,0.759802,0.65317,0.65413,0.47792,0.69278,0.71911,0.44173,0.381119,0.303058
nomic-ai/nomic-embed-text-v1.5,0.922344,0.52018,0.6046466288318849,0.697511768661735,0.7116012635813495,0.303115090856725,0.6171274951450321,0.6673389390621741,0.357605,0.7544467557272925,0.394935,0.8425324675324675,0.9598024920069808,0.740013,0.807169234916371,0.7201492537313433,0.7658383975698424,0.71227,0.17629,0.67177734375,0.8676041575841374,0.6008051520875409,0.3804370276490524,0.492389,0.5538342532333089,0.7426624727825818,0.63436,0.8522205028000035,0.8424649792685918,0.29177,0.6091963780418789,0.8523035009567322,0.8139924460748615,0.57475,0.53881,0.36804,0.85312,0.60558,0.37456,0.4194712349861685,0.285596
OrdalieTech/Solon-embeddings-large-0.1,0.919745,0.56925,0.474778,0.700773,0.734113,0.312846,0.587275,0.678539,0.333493,0.78227,0.380958,0.803442,0.923772,0.742065,0.793187,0.772239,0.778392,0.63145,0.20431,0.659668,0.89193,0.568996,0.364499,0.350661,0.547207,0.749828,0.61867,0.860346,0.858441,0.20904,0.607499,0.868678,0.835086,0.59983,0.50318,0.39809,0.841752,0.64043,0.37695,0.39399,0.33915
intfloat/e5-base,0.904423,0.51411,0.542585,0.666543,0.7421899903211739,0.3006817404666522,0.5965675531567043,0.63741,0.320616,0.7966419880841734,0.376448,0.8332792207792208,0.948767393663574,0.715198,0.8331401180333396,0.781642,0.7852252410630708,0.60547,0.1899,0.74117,0.8723010990417097,0.5516,0.346347,0.439144,0.549871,0.7439948795815541,0.7963799999999999,0.8597819287477351,0.8510314395214409,0.16289,0.6138370118845502,0.8834876527774259,0.8618102563389962,0.55022,0.57168,0.38304,0.75958,0.63246,0.36368,0.374893,0.33383
manu/bge-m3-custom-fr,0.943753,0.51591,0.498588,0.708709,0.81355,0.30027,0.619981,0.664872,0.305818,0.776325,0.372626,0.820779,0.965551,0.775319,0.815511,0.721194,0.800594,0.78282,0.14024,0.67749,0.869643,0.542435,0.310821,0.427297,0.499528,0.71997,0.44867,0.859136,0.835158,0.27299,0.617063,0.880237,0.849036,0.55868,0.43542,0.40244,0.870164,0.65196,0.38186,0.318016,0.331076
Snowflake/snowflake-arctic-embed-l,0.901163,0.59086,0.566869,0.606792,0.6785470749045026,0.2908234393834005,0.6034614226394902,0.698366,0.350014,0.6932425977603488,0.424879,0.8006493506493507,0.9522680188132776,0.676362,0.7748991626780107,0.638955,0.6977157648098141,0.88925,0.21361,0.647092,0.8228085055047386,0.563437,0.344783,0.434719,0.582928,0.6234858091376534,0.80716,0.8484152743322607,0.8634534093114372,0.39984,0.5673740803621958,0.8016458787843023,0.7567875747588545,0.6496999999999999,0.67884,0.47258,0.7287600000000001,0.75469,0.44707,0.388528,0.203791
dwzhu/e5-base-4k,0.917898,0.4449,0.52223,0.687929,0.7579279003980384,0.312916268497217,0.5897793816337376,0.619242,0.321521,0.7829727771767095,0.36678,0.8352922077922077,0.9459134620408962,0.748924,0.8358056936846942,0.754179,0.79948683747966,0.46822,0.18694,0.721126,0.8758456196391622,0.552846,0.344909,0.390961,0.538693,0.7597497873817315,0.69596,0.8663028865482376,0.8140064994975234,0.19286,0.6039049235993209,0.8882021731518206,0.8652303197250791,0.5211,0.32306,0.30565,0.8615,0.61224,0.39883,0.367251,0.333767
